,country,year,life_expectancy
24179,Solomon Islands,1852,25.1
24180,Somalia,1852,29.4
24182,South Africa,1852,33.5
24184,Spain,1852,29.5
24185,Sri Lanka,1852,32.6
24186,Sudan,1852,31.4
24187,Suriname,1852,32.9
24189,Swaziland,1852,32.3
24190,Sweden,1852,41.35
24191,Switzerland,1852,38.0
24192,Syria,1852,31.1
24193,Taiwan,1852,28.3
24194,Tajikistan,1852,24.24
24195,Tanzania,1852,32.2
24196,Thailand,1852,30.4
24197,Timor-Leste,1852,28.95
24198,Togo,1852,31.3
24200,Tonga,1852,28.2
24202,Trinidad and Tobago,1852,38.8
24203,Tunisia,1852,28.8
24204,Turkey,1852,35.0
24205,Turkmenistan,1852,24.0
24208,Uganda,1852,25.3
24209,Ukraine,1852,36.6
24210,United Arab Emirates,1852,30.7
24211,United Kingdom,1852,40.93
24212,United States,1852,39.41
24213,Uruguay,1852,32.9
24215,Uzbekistan,1852,26.93
24217,Vanuatu,1852,24.3
24218,Venezuela,1852,32.2
24219,West Bank and Gaza,1852,32.1
24221,Western Sahara,1852,34.75
24222,Vietnam,1852,32.0
24223,Virgin Islands (U.S.),1852,33.4
24226,Yemen,1852,23.39
24228,Zambia,1852,32.6
24229,Zimbabwe,1852,33.7
24231,South Sudan,1852,26.67
24434,Afghanistan,1853,27.67
24436,Albania,1853,35.4
24437,Algeria,1853,28.82
24440,Angola,1853,26.98
24442,Antigua and Barbuda,1853,33.54
24443,Argentina,1853,33.2
24444,Armenia,1853,34.0
24445,Aruba,1853,34.42
24446,Australia,1853,34.05
24447,Austria,1853,34.4
24448,Azerbaijan,1853,29.17
24449,Bahamas,1853,35.18
24450,Bahrain,1853,30.3
24451,Bangladesh,1853,25.5
24452,Barbados,1853,32.12
24453,Belarus,1853,36.2
24454,Belgium,1853,41.33
24455,Belize,1853,26.5
24456,Benin,1853,31.0
24458,Bhutan,1853,28.8
24459,Bolivia,1853,33.0
24460,Bosnia and Herzegovina,1853,35.1
24461,Botswana,1853,33.6
24462,Brazil,1853,31.99
24464,Brunei,1853,29.2
24465,Bulgaria,1853,38.13
24466,Burkina Faso,1853,29.2
24467,Burundi,1853,31.5
24468,Cambodia,1853,35.0
24469,Cameroon,1853,28.75
24470,Canada,1853,41.17
24471,Cape Verde,1853,33.8
24473,Central African Republic,1853,30.0
24474,Chad,1853,30.9
24476,Chile,1853,32.0
24477,China,1853,29.0
24480,Colombia,1853,32.0
24481,Comoros,1853,32.1
24482,"Congo, Dem. Rep.",1853,31.6
24483,"Congo, Rep.",1853,32.7
24485,Costa Rica,1853,30.21
24486,Cote d'Ivoire,1853,31.16
24487,Croatia,1853,36.1
24488,Cuba,1853,36.44
24489,Cyprus,1853,38.51
24490,Czech Republic,1853,34.95
24492,Denmark,1853,38.6
24493,Djibouti,1853,29.9
24495,Dominican Republic,1853,29.9
24497,Ecuador,1853,32.9
24498,Egypt,1853,33.0
24499,El Salvador,1853,28.7
24500,Equatorial Guinea,1853,29.8
24501,Eritrea,1853,30.2
24503,Estonia,1853,37.26
24504,Ethiopia,1853,29.7
24507,Fiji,1853,26.1
24508,Finland,1853,33.57
24509,France,1853,42.52
24510,French Guiana,1853,30.5
24511,French Polynesia,1853,25.6
24512,Gabon,1853,30.6
24513,Gambia,1853,28.8
24514,Georgia,1853,31.87
24515,Germany,1853,38.37
24516,Ghana,1853,28.0
24518,Greece,1853,36.6
24519,Greenland,1853,33.87
24520,Grenada,1853,37.3
24521,Guadeloupe,1853,27.66
24522,Guam,1853,27.5
24523,Guatemala,1853,25.81
24525,Guinea,1853,30.05
24526,Guinea-Bissau,1853,32.0
24527,Guyana,1853,31.12
24528,Haiti,1853,29.0
24530,Honduras,1853,33.9
24531,"Hong Kong, China",1853,34.9
24532,Hungary,1853,36.0
24533,Iceland,1853,48.6
24534,India,1853,25.44
24535,Indonesia,1853,30.0
24536,Iran,1853,25.6
24537,Iraq,1853,31.2
24538,Ireland,1853,38.3
24540,Israel,1853,32.0
24541,Italy,1853,29.69
24542,Jamaica,1853,34.2
24543,Japan,1853,36.42
24545,Jordan,1853,31.7
24546,Kazakhstan,1853,26.2
24547,Kenya,1853,25.5
